
=======================================================
[INFO] TANGGAL & WAKTU EKSEKUSI SIMULASI : 2026-06-09 16:04:08
=======================================================

=======================================================
[INFO] Skenario Range / Pathloss Degradation (Wi-Fi 7)
=======================================================
[SPESIFIKASI SIMULASI]
- Standar Wi-Fi     : Wi-Fi 7 (802.11be)
- Konfigurasi MIMO  : 8x8 Spatial Streams
- Fitur Spesial     : Multi-Link Operation (MLO) Aktif
    * Link 0        : Frekuensi 5 GHz (Lebar Pita 160 MHz)
    * Link 1        : Frekuensi 6 GHz (Lebar Pita 320 MHz)
- Tx Power          : 20.0 dBm
- Rate Adaptation   : IdealWifiManager (Otomatis menyesuaikan hingga 4096-QAM)
- Propagation Model : HybridBuildingsPropagationLossModel (Redaman Tembok/Indoor)
- Jarak Uji         : 0 hingga 300 meter
=======================================================

[INFO] Waktu: 0.2s | Jarak: 1 m | RSSI: -5.71343 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 0
[INFO] Waktu: 22s | Jarak: 219 m | RSSI: -53.153 dBm | Tput: 2225.66 Mbps | Delay: 87.516 ms | Jitter: 0.00620808 ms | Drop: 47157
[INFO] Waktu: 22.2s | Jarak: 221 m | RSSI: -53.232 dBm | Tput: 2222.9 Mbps | Delay: 87.5758 ms | Jitter: 0.00622832 ms | Drop: 47160
[INFO] Waktu: 22.4s | Jarak: 223 m | RSSI: -53.3102 dBm | Tput: 2226.08 Mbps | Delay: 87.4638 ms | Jitter: 0.00608886 ms | Drop: 47077
[INFO] Waktu: 22.6s | Jarak: 225 m | RSSI: -53.3878 dBm | Tput: 2223.01 Mbps | Delay: 87.65 ms | Jitter: 0.00628273 ms | Drop: 47267
[INFO] Waktu: 22.8s | Jarak: 227 m | RSSI: -53.4646 dBm | Tput: 2233.02 Mbps | Delay: 87.4061 ms | Jitter: 0.00619834 ms | Drop: 47053
[INFO] Waktu: 23s | Jarak: 229 m | RSSI: -53.5408 dBm | Tput: 2226.96 Mbps | Delay: 87.472 ms | Jitter: 0.00618791 ms | Drop: 47044
[INFO] Waktu: 23.2s | Jarak: 231 m | RSSI: -53.6164 dBm | Tput: 2229.61 Mbps | Delay: 87.4812 ms | Jitter: 0.00605961 ms | Drop: 47087
[INFO] Waktu: 23.4s | Jarak: 233 m | RSSI: -53.6912 dBm | Tput: 2236.56 Mbps | Delay: 87.3589 ms | Jitter: 0.00612338 ms | Drop: 46955
[INFO] Waktu: 23.6s | Jarak: 235 m | RSSI: -53.7655 dBm | Tput: 2234.79 Mbps | Delay: 87.2757 ms | Jitter: 0.00627131 ms | Drop: 46975
[INFO] Waktu: 23.8s | Jarak: 237 m | RSSI: -53.8391 dBm | Tput: 2231.02 Mbps | Delay: 87.3051 ms | Jitter: 0.00605516 ms | Drop: 47008
